00KSCJkYb8JKa4Y3	Annisokay	Coma Blue	Arms
0hp1VIc2JIzmdou4	True Widow	Theurgist	AVVOLGERE
0j5i3WjphnPrK1sI	Starsailor	Faith Hope Love	On The Outside
0jGfv3KjonxRVg0Z	Slowdive	Ballad Of Sister Sue	Just For A Day
0jywvXAj5ah8ffnh	Sia	The Fight	We Are Born
0k7FuwOfSWu1FW0b	PUTOCHINOMARICÓN	Gente De Mierda	Corazón De Cerdo Con Ginseng Al Vapor
0kFhN9KUu2eVeiqw	Oceans Ate Alaska	Over the Edge	Lost Isles
0l74rMivq4JRIW5W	One Direction	Drag Me Down	Made In The A.M. (Deluxe Edition)
0le9gmaGSt11gMzl	JoJo	Baby It's You	JoJo (2018)
0ltYJZpJLaxEdGd7	Vampire Weekend	Big Blue	Father of the Bride
0m5Q7XPXgBKh69Oo	BTS	N.O	O!RUL8,2?
0mpDFb1MSL6M6QDw	Death	A Moment of Clarity	The Sound of Perseverance - Reissue
0nWfiiw6TgdCNuYe	ABBA	Dancing Queen	Arrival
0nYiKD0xkvwn3Y2K	MisterWives	Our Own House	Our Own House
0nj7ecyJqaZsDW4D	Glee Cast	Cry	Cry (Glee Cast Version)
0o5jvQWVuFrPhA4K	Hot Chip	Hold On	Made In The Dark
0oe2d23jio9Uyg49	Christina Aguilera	The Right Man	Back To Basics
0opwZtw5F24W5nGI	St. Vincent	Pieta	St. Vincent (Deluxe Edition)
0pKdVXwboxWtasKV	Laura Pausini	Bellissimo così	Primavera in anticipo
0pn3KPrmlT65N0TZ	Dark Stares	Pedal Pusher	Darker Days Are Here to Stay
0qJbxD3hsFTAtT2H	Diamond Rio	Beautiful Mess	Greatest Hits II
0qJxPb3F5iBwemou	Clint Mansell	Summer Overture	Requiem for a Dream / OST
0qgdmHEKVUOkICJq	Rome	Les Déracinés	Nos Chants Perdus
0qksG0v30j5B3d5m	The Four Tops	Loco in Acapulco	Drew's Famous # 1 Karaoke Hits: Sing like The Four Tops
0qqf89vequY2e2uT	Wild Nothing	Our Composition Book	Gemini
0r15MBZkjvHovNPk	Village People	Y.M.C.A.	Cruisin'
0r4GXVQMxdHlqWVw	Death in June	Omen-Filled Season	Black Angel - Live!
0r9CaVEt23gk1OLL	Unknown Mortal Orchestra	Extreme Wealth and Casual Cruelty	Multi-Love
0rEoPxgyzHki2RWu	Mr. Fingers	Can You Feel It	Washing Machine
0rjE4lunyG8Lrgjq	Discharge	Drunk With Power	Hear Nothing See Nothing Say Nothing
0slI8BiyGTfFWUGu	Sunanda Sharma	Jaani Tera Naa	Jaani Tera Naa
0szuK0G7dl2oeACy	Queen	Back Chat	Hot Space
0t6nCxnmb4fmDhnQ	M83	Highway of Endless Dreams	Saturdays = Youth
0tKSRIcj9gn6IJ5X	Crown the Empire	Machines	The Resistance: Rise Of The Runaways
0thBNWXI4Gzb2ZLV	Sirenia	Queen of Lies	Arcane Astral Aeons
0tzYEg8KodbJHl8p	Pink Floyd	Fat Old Sun	Atom Heart Mother
0u3Kcm8q8vnWPMHc	Hockey Dad	Sweet Release	Blend Inn
0uEtFSfUUzI9HMLn	MC Koringa	Pra me provocar	A Caminhada
0uMHZRtfqLwZmzPv	Pearl Jam	Evacuation	Binaural
0uV7xclfhZI1ABpT	England Dan & John Ford Coley	I'd Really Love To See You Tonight	Rhino Hi-Five: England Dan & John Ford Coley
0uyVX6LPixsFh00P	Robert Plant	29 Palms	Fate Of Nations
0vXeC5LIEh3rf9Mx	$uicideboy$	Scrape	Scrape
0vd7SREH018NTDta	Joni Mitchell	River	Blue
0vrezKgvdaVdP55M	Monarchy	Living Without You	Ultra Deep House
0w5hHsx3iy7K3Hvw	Medulla	Perigo	Medulla
0w7vt6PTaKx8ogMT	Antônio Carlos Jobim	Corcovado	"The Composer Of "" Desafinado"", Plays"
0wuIKJAXhSBJ23h0	Lovelyz	Good-bye Chapter 1	Girls’ Invasion (1)
0wuaeUCdj0eoIpRH	Twin Shadow	At My Heels	Forget
0xVqeng8rSk1vkzQ	Fleet Foxes	Icicle Tusk	First Collection 2006-2009
0xXiMHpY7KUmXlAv	S Club 7	I Really Miss You	S Club
0yL5HM8MXEfkmgcE	Blindside	Sleepwalking	Silence
0ySwHBFBFjqs3ZwH	Charlie Brown JR.	A Mais Linda do Bar	La Familia 013
0yT3jx96TnZ8ZMDj	Minseo	Is Who	Is Who
0ylNFDWBjq7HoaRR	Chet Baker	Let's Get Lost	Let's Get Lost: The Best Of Chet Baker Sings
0yvedEdqrVJZJ8FB	Queens of the Stone Age	Hanging Tree	Songs For The Deaf
0z4MvkgcEZIuUhaC	Charles Mingus	Pussy Cat Dues	Ah Um
0zHYWyUgwiCVEXty	My Chemical Romance	Blood - Hidden Track	The Black Parade
0zLKtENKWykjX3uw	Qual	RIP DOTH THY SCARLET CLAWS	Sable
109IXnS5xSfF7I3I	Fleetwood Mac	Never Going Back Again	Rumours (Super Deluxe)
10w2wTXsYADqkdF1	Hüsker Dü	Makes No Sense at All	Eight Miles High / Makes No Sense at All (Single)
11AWkdsjnYloW9kn	Lacuna Coil	You Love Me 'Cause I Hate You	Delirium
11SAgRx2QYFJEX8L	Leftfield	Dusted	Rhythm and Stealth
11TbQFLTZ0rWsuT5	Zella Day	Hunnie Pie	Man on the Moon / Hunnie Pie
11vLXtujW5gKibl7	BEXEY	Hell Bound	Spooky Electrick
122YR0dLpuw1XTjl	Hyoyeon	Mystery	Mystery
12J0SifUY3ZcE7dL	Etta James	Stormy Weather	At Last!
12kWO3sheJ5BCttJ	Lea Salonga	Reflection	Disney's Greatest Volume 1
134RxLi6hDKFLixZ	Carpenters	Rainy Days and Mondays	Carpenters
13AYHy6cyhUIcPmC	Curtis Harding	Heaven's On The Other Side	Soul Power
14sFTXZejVMAq33a	Destroyer	English Music	Streethawk: A Seduction
1537AQrURK0xyndn	Galaxie 500	Sorry	This is Our Music
15tLvTjDxU197oBT	Norah Jones	Above Ground	Feels Like Home
166TJqR8YtaoibkS	Nancy Sinatra	Bang Bang	Kill Bill Vol. 1 Original Soundtrack (PA Version)
16D82lKDn3niatEm	Bad Religion	Only Rain	The Dissent Of Man (Bonus Track Version)
16FgAwHUT9uktVqa	Riverside	I Believe	Out of Myself
16Hz1Pdate9ZTzs6	El Canto del Loco	Personas	Personas
16RZKo74hALxISBB	Loma Prieta	Untitled	I.V.
16UnJPwsJaWza1Bt	The 1975	I Always Wanna Die (Sometimes)	A Brief Inquiry Into Online Relationships
16jrwJilnXunxqQi	Waxahatchee	Hollow Bedroom	Cerulean Salt
16pOUJTRbQFVz7pW	The Zombies	A Rose for Emily	Odessey And Oracle
16qLHNiUdmeJs9Qy	Hans Zimmer	Maestro	The Holiday (Original Motion Picture Soundtrack)
16vBZvYvZW9nceau	Mogwai	I Am Not Batman	Ten Rapid
17agWPqEyTQSui3I	Christian Chávez	El Ladrón	El Ladrón
17z4NTAHHVech2oB	Mel Tormé	Comin' Home Baby	Comin' Home Baby
18SiVZcLUJAJgviA	Simon & Garfunkel	He Was My Brother	Wednesday Morning, 3 A.M.
18gL24KTRGwfRYE9	Psychedelic Porn Crumpets	Cubensis Lenses	High Visceral, Pt. 1
18vv9maSyDLb16H9	Gallant	Shotgun	Ology
1921M8biipnVsHIM	Thomas Rhett	Unforgettable	Life Changes
1935k7mIkFNpUnxU	Breaking Benjamin	Skin	Saturate
194kBdMfAYil6whx	Francisco Victoria	Cruza el Puente	Prenda
19AiX0Gb6VNKvjGU	Queen	You're My Best Friend	A Night At The Opera (Deluxe Remastered Version)
19OiVL1Z3bWapeTg	Stevie Wonder	Whereabouts	In Square Circle
1AVBZ1QGoMgGtBZM	Justin Bieber	Be Alright	Believe (Deluxe Edition)
1Ap2Ahuz2AS3D898	Dagoba	Inner Sun	Black Nova
1ApbfAhXieJCmweB	Tom Waits	Fish & Bird	Alice (Remastered)
1B8LAeUAPd3uLW0R	Death	Land of No Return	Scream Bloody Gore (Deluxe Reissue)
1B8re6qbgtUxjW8K	Bush	The Chemicals Between Us	The Science of Things (Remastered)
1BAJNO4P19zJuRCZ	Foo Fighters	My Hero	The Colour And The Shape
1BSTJnqQWGkb0Miw	DJONGA	Mlk 4tr3v1d0	Ladrão
1BxOomemaljnipHN	Aimee Mann	Today's the Day	Lost In Space
1DIRkXtyFT0RzMW4	Bedhead	Golden Brown	1992-1998
1DfWWCw8vFSLPZoC	ONEUS	Valkyrie	LIGHT US
1E0XOnSgrhT29oTj	Decrepit Birth	(A Departure Of The Sun) Ignite The Tesla Coil	Polarity
1Emt5bmCnIj3J3DN	Anavitória	Coração Carnaval	ANAVITÓRIA
1FHsbrJnBPPP0g0k	Oliver Tree	Cheapskate	Cheapskate
1GH1N58NWSZBHu0o	Lisa Lisa & Cult Jam	Head to Toe	Super Hits
1GSla2d1IZgYnLEY	Skillet	Collide	Collide
1GgHBJlpBcyhExSA	El Canto del Loco	La Madre De Jose	Estados de Animo
1GgOhyP7jFJjmMxl	Stand Atlantic	Toothpick	Skinny Dipping
1H4rPODb44vLIJds	Periphery	Ragnarok	Periphery II
1HoTAKe9slCtsTiu	Urban Zakapa	When We Were Two	When we were two
1Ix1W83L21wL90VM	Judas Priest	Blood Red Skies	Ram It Down
1JDhrF80iTL8qZTw	Boyzone	Love Me for a Reason	Said And Done
1JJ4W4CJsmR02HTx	The Smashing Pumpkins	Untitled	(Rotten Apples) The Smashing Pumpkins Greatest Hits
1JUBq8gdBT7jepls	Protest the Hero	Mist	Volition
1Jp0SeFFOQ4i6y3R	Mary J. Blige	Hurt Again	Growing Pains
1K4uqBQSMn1LR5bV	Masked Intruder	Maybe Even	III
1KGKpWkeW70Knm0L	Teyana Taylor	Business	VII (Deluxe)
1KNqgyqVTxDSFbJZ	Fleet Foxes	Ragged Wood	Fleet Foxes
1L5YgJUNjt0kE3rf	Grant Miller	Colder Than Ice	Best Of - The Maxi-Singles Hit Collection
1LMveeyguTX9Vrzz	Vida Reluz	Como És Lindo - Ao Vivo	Banda Vida Reluz ao Vivo
1Mzdkzp94lWU1VP8	Dulce Pontes	O Infante	Momentos
1NO3BwFtJjhQIQkh	Santana	You Just Don't Care	Santana
1NUjQqlkw8rUBLLI	Solomon Burke	Fast Train	...and all the pieces matter, Five Years of Music from The Wire (deluxe version)
1ODKAyZfoiA8c1Hj	rumahsakit	Hilang	Hilang
1OVpEErH60sofbKM	Carmen Consoli	Venere	Confusa E Felice
1PbkQt0nm4wlaQB9	While She Sleeps	Anti-Social	SO WHAT?
1QrsMIpx3nbyX75S	Disclosure	Jaded	Caracal (Deluxe)
1QvrgUV3GN108S9s	Mammal Hands	Shift	Floa
1R5OUBY88yVKWKFU	Hollywood Undead	Nobody's Watching	Five
1Rn5G0gL1K0m4gFQ	Milton Nascimento	Canção Amiga	Clube Da Esquina 2
1Rt6nEc20mcLigSf	Norah Jones	Creepin' In	Feels Like Home
1SLIcf3T7zK09Tv8	Adam Pascal	Your Eyes	RENT (Original Motion Picture Soundtrack)
1SM7ZyVo3MsNBAeS	Vanessa Paradis	Chet Baker	Divinidylle
1SWs1ngkM7XXhWfL	Motorama	Sign	Dialogues
1SbLlmun3Ybu6WDI	Jorge Drexler	Movimiento	Salvavidas de hielo
1Sk8XOujVHQxrDSN	Carpenter Brut	Run, Sally, Run!	TRILOGY
1TOx5IDc83JfKJMY	Type O Negative	I Know You're Fucking Someone Else	The Complete Roadrunner Collection 1991-2003
1TajXcJq5yg9hgid	Laura Marling	Rambling Man	I Speak Because I Can
1UY3Xhpe9woT376Q	David Guetta	The World Is Mine	Louie DeVito pres. Ultra.Mix 02
1VvHG6uaWyLTZZaR	Howlin' Wolf	Back Door Man	Howlin' Wolf
1WJFOzUTGPCTohZA	The Prodigy	Thunder	Invaders Must Die
1WQkoAHloStdthMw	Charles Bernstein	Main Title	Wes Craven's A Nightmare on Elm Street (Original Motion Picture Soundtrack)
1WlRq8rW40gTSwKO	Manic Street Preachers	Send Away The Tigers	Send Away The Tigers
1XYxr3gPDLh1OfLG	Sonata Arctica	Ain't Your Fairytale	Reckoning Night
1XksK0edltBBIgAR	Canto dos Malditos na Terra do Nunca	Fingir	Canto dos Malditos Na Terra do Nunca
1XrZWrECeBx9rqwK	Mercenary	Embrace the Nothing	Architect of Lies
1YJWDNKhtS9WKB8a	Elmore James	Dust My Broom	Shake Your Money Maker: The Best Of The Fire Sessions
1YOagKsFqTS8BDK2	Zara Larsson	I Would Like	So Good
1Yfyk8H2Qu4Cf3Ex	Danity Kane	Tell Me	DK3
1Z17lY5HmJ4MqbvS	Lizzo	Truth Hurts	Cuz I Love You (Deluxe)
1Z7Pb158yANCZ7zN	Billie Holiday	Georgia On My Mind	Lady Day: The Complete Billie Holiday On Columbia (1933-1944)
1ZDeLHmbKM5AZCQR	James Blake	Modern Soul	The Colour In Anything
1aOy9pzOsJ8AjKAb	La Oreja de Van Gogh	El último vals	A las Cinco en el Astoria
1aVjukDrKZfuozsS	Sirenia	The Seventh Summer	The 13th Floor
1ajbRfMC8Z16Td2W	Splashh	Headspins	Comfort
1b7L5n3xhCn2bLWX	Xiu Xiu	Ale	Le Foret
1b8sA4iir0gn8d2g	Queen	Now I'm Here	Sheer Heart Attack (Deluxe Remastered Version)
1bAK1RMIbpo3BhrK	Lacuna Coil	Nothing Stands in Our Way	Broken Crown Halo
1brDIUXXgVDlvv0v	Coldplay	Every Teardrop Is A Waterfall - Live In Buenos Aires	Live in Buenos Aires
1cUUnlwxUH9rXdBd	Dance Gavin Dance	The Rattler	Artificial Selection
1desuKPRoCCWc5xZ	Funkadelic	I'll Stay	Standing On The Verge Of Getting It On
1eApBsTMCYUAWWKW	Selena Gomez & The Scene	Love You Like a Love Song	When The Sun Goes Down
1f1RCJoqJZKJQyEC	Yellow Magic Orchestra	Kai-Koh	Naughty Boys & Instrumental
1f42FxRyQ5L2N9Ic	The Album Leaf	Eastern Glow	In a Safe Place
1fCrL9VWob31hlOf	Tegan and Sara	Where Does the Good Go	So Jealous
1gCejbMa6vBbzeIY	San Cisco	Snow	Gracetown
1gVhiGnE05wha7iE	Alter Bridge	Show Me A Sign	AB III
1gbSfe8iEpBhNuJL	Fréhel	Si tu n'étais pas là	100 Pop Music Workout Music
1h0uWdoZOy1i75ho	deadmau5	Raise Your Weapon	5 Years of mau5
1h5xetjDsOju4lmp	Filipe Catto	Eu Não Quero Mais	CATTO
1hFwLdmoO4fC46hu	Jeremy Enigk	Abegail Anne	Return of the Frog Queen
1iK5Jw9Hf8vBdMdH	The Offspring	Beheaded	The Offspring
1iXpa8TkY14CtUCp	The Dillinger Escape Plan	Dead as History	Ire Works
1ingfo3XFafO5Pto	Dashboard Confessional	Don't Wait	Dusk And Summer
1ipQbTWIdgp6fhIR	Heartless Bastards	Sway	The Mountain
1j8YxO3cGIbhNj34	JoJo	Never Say Goodbye	JoJo (2018)
1jkzzxdtdUcstunm	Cristian Castro	Por Amarte Así	Mi Vida Sin Tu Amor
1jmYi2f4Zx45iUm9	Madonna	Jimmy Jimmy	True Blue (Reissue)
1kJRurE3EzLYOzkQ	The White Stripes	Fell in Love With a Girl	White Blood Cells
1kckAOAQl4AZpnY3	Eric Paslay	Young Forever	Young Forever
1ktzw8MBVxykwaRf	Beyoncé	Baby Boy	Dangerously In Love
1lSVa35bKakCPNcT	The Budos Band	Black Venom	The Budos Band III
1lhDOBoSftrYQJ1Y	Simple Creatures	Drug	Strange Love
1lpFiMZP7EMqX5r0	Gene Pitney	Half Heaven - Half Heartache	18 All-Time Greatest Hits
1m6NizcHQfOVzx9v	Megadeth	Breakpoint	Hidden Treasures
1mxfEuKfXxeG4WAf	Pawni Pandey	Laila Main Laila	Raees
1n3apSaoCwmQ5aEt	The Edwin Hawkins Singers	Oh Happy Day	Oh Happy Day: The Best Of The Edwin Hawkins Singers
1nN1JLKuoWHOXAWm	Paramore	Ain't It Fun - Live at Red Rocks	Paramore: Self-Titled Deluxe
1nUgqM8kKO1fqqc3	Nine Inch Nails	Came Back Haunted	Hesitation Marks (Deluxe Version)
1o8cAudoKRQstyHN	Horse Feathers	Belly of June	Thistled Spring
1oO29RDo0cdUTIdu	Robbie Williams	No Regrets	I've Been Expecting You
1oOfcGLQhe1n5pFb	Pixote	Insegurança	15 Anos Ao Vivo (Live)
1pg8GUj51tDQRlgw	Diana Ross	My Mistake (Was To Love You)	Diana & Marvin
1q4aW350Z3iqaaFy	Britney Spears	I've Just Begun (Having My Fun)	Greatest Hits: My Prerogative
1qFZ0HF62jrYNkRZ	Our Last Night	Diamonds	Younger Dreams
1qIrffQFy4Rq0Fsr	Týr	The Lay of Our Love	Valkyrja
1qLNOH6PFcqhthLj	Joni Mitchell	You've Changed	Both Sides Now
1qQibTZPMcIwThYi	Mariah Carey	Fly Away (Butterfly Reprise)	Butterfly
1qbBE2tq5EfH2fnm	Dirty Three	Deep Waters	Ocean Songs
1rpgPh4SXOonbuWV	Foxes	Youth - Adventure Club Remix	Youth (Adventure Club Remix)
1rtul4j3ViHhsqLM	Sevdaliza	Do You Feel Real	Ison
1snG075AE1jVzzwq	Blur	Country Sad Ballad Man	Blur
1tKEbqmPOJgTaMH6	Chromatics	Girls Just Wanna Have Fun	Girls Just Wanna Have Fun
1tho4AsSUx5CUbvp	Broken Social Scene	Windsurfing Nation	Broken Social Scene
1toZXou7rNITaMLS	Alkaline Trio	I Can't Believe	Is This Thing Cursed?
1tx1pK4HWjonqxzB	V V Brown	Bells	Glitch
1udTmLMZxFbDGzkf	Bruno Mars	Grenade (Passion Pit Remix)	The Grenade Sessions
1up9277uzf0f7Frk	Blue Öyster Cult	Astronomy	Secret Treaties
1uq7hlqorbXklPpq	The Psychedelic Furs	No Tears	Talk Talk Talk
1v0dXYmxG4SJGMUw	O Terno	Medo do Medo	O Terno
1v3FdjGxhYmKkiKM	Preoccupations	Bunker Buster	Viet Cong
1vSKLNlBC7jtFkd6	Sasha Sloan	Here	sad girl
1vXhxyR5IlXSdVM1	Wildstylez	Heartbeat	Heartbeat
