00KSCJkYb8JKa4Y3	rock,german,progressive,emo
0CkkjxzAsaEnCq6E	folk,country,pop,masterpiece,joanne
0CqZ4DcPLbgOlxOk	reggae,brazil,brazilian
0Cweeu5lrQVwRuAk	progressive rock,doom metal,melancholic,atmospheric,atmospheric rock
0DANaW6XgBRYfiET	soul,funk,prince
0DgZlQ8A5OuusSC0	female vocalists,electronic,swedish,indie pop
0DjU7vZx56D9cK3K	new wave,french,pop rock,chanson française
0EH41J9Yur5x0FNv	indie rock,indie,british,alternative,rock
0EkeANTAetzZFrjm	post-hardcore,alternative rock,8 of 10 stars
0GnTDgYjq26RBVmW	remix,fire and water,electronic superhighway
0H7nBnNHtv1Ycxbn	60s,oldies,pop,1962
0HNfZ7NMpnEWYRjW	pop
0HaCOXEdLTASrU4P	post-hardcore,emo,screamo,rock,emocore
0Hxgv7xgxVyFcHIb	classic rock,rock,80s,progressive rock,70s
0Hy6OyiGTK9VRort	hardcore punk,punk,hardcore,punk rock
0IGMFBtZCxXxnJGm	80s,alternative,rock,indie,alternative rock
0IOVWAhbdf1CsekA	progressive rock,classic rock,rock,psychedelic rock,70s,pink floyd
0J0w2zXsrbRWzPrL	2019,french,electronic
0J9UQ9GC3VO4l3oU	classic rock,blues,blues rock,derek and the dominos
0JD8zXCdku6KeBIk	chillout,house,lounge,electronic,dance
0K2vsBA9smDZxKno	punk rock,punk
0KJ3RQhIgxlRNbyU	alternative metal,metal,rock,system of a down,alternative
0KrfpITRYCMTHZno	pop,rock,singer-songwriter,alternative,best of 2019,alternative rock
0KtUZOqkXcs5Q4Cn	synthpop,electropop,alternative rnb,art pop
0KtVngQ3MYfJDlFc	rnb,pop,electronic,soul,synthpop,rnb,pop,electronic
0LFQMQ0Zx2oKHVJO	brazilian,folk,indie,indie rock,art rock,world
0LSUejQYM3CNyFvB	brutal death metal,technical deathcore,slamming brutal death metal,death metal
0LwSoPupgcdqr4Iz	pop,mpb,rnb,brazilian
0M6rQONIPVKkRx8u	synthpop,electronic
0MHinT7xVyogompy	rap,brazilian,rap nacional
0MWOdRTVAx0staZz	pop,rock,pop rock,avril lavigne,female vocalists
0MhSVMMC2sqqHQIa	british,indie,rock,indie rock
0Ms5TgXO81hi7Jzd	indie,rock,indie rock,indie pop,noise pop,female vocalists
0MsogDqbmJNTohet	punk rock,punk,rock,green day,alternative,90s
0NYOybOH3K7w2I38	alternative rock,rock,swedish,punk,punk rock,rock,alternative rock,hard rock
0P7FMi0IH8YC29jA	electronic,alternative,melancholy,sexy,beautiful,electronic,synthpop,alternative
0QFRc22ra1SdrQsy	sludge,dark ambient,post metal,drone
0QSuci5nyuRojGbo	black metal,raw black metal
0Qeai2jYu5cjc3vE	sexy,pop,patrick stump,r&amp;b,the very best of 2000 - 2010,2011
0SeDKeYWE9enzz8Q	pop,hip hop,epic,live,female vocalists,pop,dance,female vocalists
0TZKbee0wUzeBhmP	indie,alternative,rock,1999,1990s
0UhNk0cWCHoH6xDw	ambient,electronic
0ViWaphaNb4lXxJL	jazz,nu jazz,acid jazz,downtempo,chillout
0WFZwWXu92pi1twc	idm,electronic,experimental,ambient
0WOk5FhwZDiWMplz	cloud rap,rap,hip-hop
0We9TRA5zyjS7ush	rock,female vocalists,alternative rock,the pretty reckless,factory girl
0WeIKLZh9Nzcd2Ew	chillwave,electronic,idm,chillwave,electronic,lo-fi
0WgRx89fMmuDHuHS	pop
0Wtc7y7OYuJ3y9jO	axe,brasil,samba,brazilian,brazil
0XEkr1yWNujXRI6W	rock,female vocalists
0XqU6v83ZMOeh4wc	k-pop,girl group
0Xqhhociv7ySUC27	pop,pop rock,brazilian,00s
0YG71J60HAJ5Glxd	hard rock,classic rock,rock,heavy metal
0YPssy4JykwvVcCR	singer-songwriter,indie,fav,girls name,2017,floundering football team
0ZWpQKODgG3lj4h7	indie,indie rock,spanish,spanish rock,pop rock
0ZeUa6hsJJrS2bI4	black metal,post-black metal,depressive black metal,shoegaze
0Zi1bAxCIYryXmG8	new wave,80s,post-punk,electronic,new order
0aFIFfBrPqFVAofA	indie rock,indie,britpop,alternative
0aK8gzuVHgZDf7lR	spanish,pop,la oreja de van gogh,espanol
0acxku2l9vauMUwS	pop,dance,britney spears,club
0af8zLRGs4G32GCl	emo rap,hardcore hip hop,memphis rap,industrial hip hop,xxxtentacion,trap rap
0b55VXwGLfCLa4aN	gospel,female vocalists
0bUiHslp8DhRf5rP	progressive metal,rock,gothic metal,trip rock
0bdspL9LsnBaXFjS	soul,british,female vocalists,pop,alternative
0cGbpUlhorS5ZvL7	pop,female vocalists,singer-songwriter,ballad
0cWzZFhnGkmgefNn	psychedelic rock,psychedelic,garage rock,australian
0cYTIIElIl2tFyoW	metal,metalcore,hard rock,rock,heavy metal,hardcore
0dU75Rzwm99uedjr	indie rock,acoustic
0dXI6c6CorcfmgB2	thrash metal,speed metal,heavy metal
0dn6u1qHmbl3T2DB	jazz,bebop
0dvDjji9Y2ZDvsmU	cover,pop punk,pop punk,powerpop,rock
0eevOaGbxIFyawks	post-rock,instrumental,experimental
0esYQXzcKfzGRHFQ	screamo,alternative rock,post-hardcore,melodic hardcore
0fceDYFPDO4huXRR	rock and roll,50s,rock n roll,rock,classic rock,rock and roll,classic rock,rock n roll
0fsqAbzSxobL06Q9	post-punk,punk,70s,classic punk
0g473y5n6Abn9EKK	indie,female vocalist,folk punk,alternative
0gLBuy5wKXD3WIF6	melodic hardcore,melodic hardcore,punk rock,skate punk
0gUXBLKIvNFF46dT	trip-hop,electronic,chillout,fip
0gs86tF7CLIV73wE	k-pop,happy
0h2qKn4QYied7Wc6	fip,canadian,chamber pop,indiepop,indie,singer-songwriter,folk
0h8G1bhVFVP6G9Km	poptron,electronic,new rave
0hEIp7b43rLAiZVR	country,female vocalists,alt-country,singer-songwriter
0hcO6fu02UtR1iSd	melodic death metal,folk metal,finnish,metal
0hfTaonRSy4Ji6Fx	alternative,rock,indie rock,garage rock,los angeles,alternative,rock,indie rock
0hi5FGoizAXxin1K	rnb,ashanti,soul,intense
0hp1VIc2JIzmdou4	shoegaze,stonegaze,slowcore,post-rock,psychedelic
0j5i3WjphnPrK1sI	rock,indie,alternative,british
0jGfv3KjonxRVg0Z	shoegaze,dream pop,ethereal,melancholy
0jywvXAj5ah8ffnh	female vocalists,pop,alternative,funk,indie
0k7FuwOfSWu1FW0b	spanish pop,pc music
0kFhN9KUu2eVeiqw	post-hardcore,metalcore,metal,emo
0l74rMivq4JRIW5W	love at first listen,pop,best of 2015,2015,british
0le9gmaGSt11gMzl	pop,rnb,jojo,cheerleaders,she is exuberant,exploring her voice
0ltYJZpJLaxEdGd7	indie pop
0m5Q7XPXgBKh69Oo	k-pop,hip hop,korean,bts
0mpDFb1MSL6M6QDw	death metal,progressive death metal,technical death metal,progressive metal,metal
0nWfiiw6TgdCNuYe	disco,pop,70s,abba,dance
0nYiKD0xkvwn3Y2K	indie,indie pop,pop,alternative
0nj7ecyJqaZsDW4D	soundtrack,cover,american,kelly clarkson,10s,00s
0o5jvQWVuFrPhA4K	poptron,electronic
0oe2d23jio9Uyg49	pop,soul,christina aguilera,love,female vocalists
0opwZtw5F24W5nGI	alternative,psychedelic,indie pop,amazing,art pop,female vocalists,indie pop,indie
0pKdVXwboxWtasKV	pop,pop-rock,loneliness after dusk,italian,pop,italian,female vocalists
0pn3KPrmlT65N0TZ	hard rock,rock,alternative,alternative rock,hard rock,rock,alternative
0qJbxD3hsFTAtT2H	country,diamond rio,beautiful mess
0qJxPb3F5iBwemou	soundtrack,instrumental,requiem for a dream,classical
0qgdmHEKVUOkICJq	neofolk,martial industrial,dark folk,apocalyptic folk
0qksG0v30j5B3d5m	soul,80s,motown,oldies
0qqf89vequY2e2uT	dream pop,indie pop,indie,mellow
0r15MBZkjvHovNPk	disco,70s,dance,pop
0r4GXVQMxdHlqWVw	neofolk,apocalyptic folk
0r9CaVEt23gk1OLL	psychedelic,psychedelic rock,lo-fi,love at first listen,druckfrisch,sax solo
0rEoPxgyzHki2RWu	house,chicago house,acid house,classic house
0rjE4lunyG8Lrgjq	d-beat,hardcore punk,punk
0slI8BiyGTfFWUGu	punjabi,india,punjabi
0szuK0G7dl2oeACy	rock,80s,classic rock,queen,funk,funk rock
0t6nCxnmb4fmDhnQ	electronic,shoegaze,dream pop,atmospheric
0tKSRIcj9gn6IJ5X	post-hardcore,rock,post-hardcore,electronic,metalcore
0thBNWXI4Gzb2ZLV	2018,gothic metal,symphonic metal,female fronted metal,metal
0tzYEg8KodbJHl8p	progressive rock,psychedelic rock,classic rock,rock,pink floyd
0u3Kcm8q8vnWPMHc	rock,garage rock,surf,surf rock,lo-fi
0uEtFSfUUzI9HMLn	funk,soundtrack,guilty pleasure,avenida brasil
0uMHZRtfqLwZmzPv	grunge,rock,alternative rock
0uV7xclfhZI1ABpT	soft rock,70s,easy listening,england dan  john ford coley
0uyVX6LPixsFh00P	rock,classic rock,robert plant,hard rock
0vXeC5LIEh3rf9Mx	hip-hop,rap,underground hip-hop,g59,greyfivenine,2-3-19
0vd7SREH018NTDta	christmas,folk,female vocalists,singer-songwriter,joni mitchell,piano
0vrezKgvdaVdP55M	electronic,british,duo,2014 single
0w5hHsx3iy7K3Hvw	metalcore,rock,alternative metal,brazilian,russian
0w7vt6PTaKx8ogMT	bossa nova,brasil,jazz,mpb
0wuIKJAXhSBJ23h0	pop,female vocals,k-pop,female vocalists,korean,kpop
0wuaeUCdj0eoIpRH	new wave,electropop,electronic,indie rock
0xVqeng8rSk1vkzQ	indie,mellow,folk,american
0xXiMHpY7KUmXlAv	pop,english,guilty pleasures,nostalgia
0yL5HM8MXEfkmgcE	rock,hardcore,post-hardcore,hard rock,hardcore,rock,hard rock
0ySwHBFBFjqs3ZwH	rock,brazilian rock,brazilian,pop rock,alternative rock,rock,brazilian rock,brazilian
0yT3jx96TnZ8ZMDj	folk,soul,rnb,k-pop,ulubione - kpop,folk,dance,k-pop
0ylNFDWBjq7HoaRR	jazz,cool jazz,vocal jazz,trumpet
0yvedEdqrVJZJ8FB	stoner rock,alternative rock,rock,queens of the stone age
0z4MvkgcEZIuUhaC	jazz,bebop
0zHYWyUgwiCVEXty	rock,punk,alternative,emo,punk rock,alternative rock
0zLKtENKWykjX3uw	darkwave,minimal synth,ebm,coldwave
109IXnS5xSfF7I3I	classic rock,70s,rock,fleetwood mac
10w2wTXsYADqkdF1	80s,post-punk,1985,indie rock,punk,post-punk,hardcore punk
11AWkdsjnYloW9kn	alternative metal,lacuna coil,gothic metal,metal,female fronted metal
11SAgRx2QYFJEX8L	trip-hop,electronic,electronica,hip-hop
11TbQFLTZ0rWsuT5	pop,indie,folk,indie pop,female vocalists,american
11vLXtujW5gKibl7	emo,emo rap,trap,rap
122YR0dLpuw1XTjl	k-pop
12J0SifUY3ZcE7dL	blues,jazz,soul,female vocalists,oldies,blues,soul,jazz
12kWO3sheJ5BCttJ	disney,soundtrack,mulan,female vocalists
134RxLi6hDKFLixZ	70s,pop,oldies,female vocalists,carpenters,easy listening
13AYHy6cyhUIcPmC	soul,2014
14sFTXZejVMAq33a	indie pop,downtempo,piano,cool,easy
1537AQrURK0xyndn	dream pop,slowcore,indie,alternative rock,us rock,1990s
15tLvTjDxU197oBT	jazz,acoustic,female vocalists,norah jones,blues
166TJqR8YtaoibkS	soundtrack,oldies,female vocalists,60s,kill bill
16D82lKDn3niatEm	punk rock,punk,melodic hardcore
16FgAwHUT9uktVqa	progressive rock,progressive metal,melancholic,polish
16Hz1Pdate9ZTzs6	spanish,boybands,rock español,spanish,pop,rock
16RZKo74hALxISBB	noise,instrumental
16UnJPwsJaWza1Bt	indie,britpop,alternative,alternative rock
16jrwJilnXunxqQi	indie,indie rock,female vocalists,10s
16pOUJTRbQFVz7pW	60s,classic rock,psychedelic,beautiful,rock,pop
16qLHNiUdmeJs9Qy	soundtrack,hans zimmer
16vBZvYvZW9nceau	post-rock
17agWPqEyTQSui3I	pop,latin,latin pop,dance,rbd,pop,latin,dance
17z4NTAHHVech2oB	jazz,swing,jazz vocal,cool
18SiVZcLUJAJgviA	folk,rock,60s,classic rock
18gL24KTRGwfRYE9	psychedelic rock,psychedelic,garage rock,rock,australian
18vv9maSyDLb16H9	rnb,soul,rnb,soul,r&amp;b
1921M8biipnVsHIM	country,american,wake-up song,2010s
1935k7mIkFNpUnxU	alternative rock,rock,hard rock,alternative
194kBdMfAYil6whx	pop,chile,chilean,chilean pop,2017,alex anwandter
19AiX0Gb6VNKvjGU	classic rock,rock,70s,queen,british
19OiVL1Z3bWapeTg	stevie wonder,soul,80s
1AVBZ1QGoMgGtBZM	pop,love,love at first listen,sad,acoustic,beautiful
1Ap2Ahuz2AS3D898	industrial metal,modern metal,modern melodic death metal
1ApbfAhXieJCmweB	blues,singer-songwriter,rock,blues,singer-songwriter,rock
1B8LAeUAPd3uLW0R	death metal,death
1B8re6qbgtUxjW8K	grunge,alternative rock,rock,alternative,90s
1BAJNO4P19zJuRCZ	rock,alternative rock,grunge,alternative,foo fighters
1BSTJnqQWGkb0Miw	rap,brazilian,rap nacional,rap,brazilian,rap nacional
1BxOomemaljnipHN	female vocalists,rock,singer-songwriter,aimee mann
1DIRkXtyFT0RzMW4	indie rock,indie pop
1DfWWCw8vFSLPZoC	k-pop
1E0XOnSgrhT29oTj	technical death metal,death metal,progressive death metal,technical death metal,death metal,brutal death metal
1Emt5bmCnIj3J3DN	folk,mpb,brazilian,duo,pop rural
1FHsbrJnBPPP0g0k	2-17-19,electronic,hip hop,hip-hop
1GH1N58NWSZBHu0o	80s,pop,dance,80s,pop,freestyle
1GSla2d1IZgYnLEY	christian rock,alternative,rock,alternative rock,christian rock,alternative rock,rock
1GgHBJlpBcyhExSA	spanish rock,spanish pop,el rock
1GgOhyP7jFJjmMxl	pop punk,rock,alternative rock
1H4rPODb44vLIJds	progressive metal,math metal,djent
1HoTAKe9slCtsTiu	korean,indie,k-indie,jazz
1Ix1W83L21wL90VM	heavy metal,metal,hard rock,melodic heavy metal,heavy metal,metal,hard rock
1JDhrF80iTL8qZTw	pop,boyzone,90s,boybands,irish,pop,boybands,irish
1JJ4W4CJsmR02HTx	alternative,rock,alternative rock,grunge
1JUBq8gdBT7jepls	progressive metal
1Jp0SeFFOQ4i6y3R	rnb,mary j blige,soul
1K4uqBQSMn1LR5bV	pop punk,punk rock,punk,rock,alternative,alternative rock
1KGKpWkeW70Knm0L	rnb,female vocalists,hip hop,hip-hop,teyana taylor,rnb,female vocalists,hip-hop
1KNqgyqVTxDSFbJZ	folk,indie,indie folk,alternative,folk-rock
1L5YgJUNjt0kE3rf	italo disco,80s,disco
1LMveeyguTX9Vrzz	catholic,catolica,gospel,brazil
1Mzdkzp94lWU1VP8	fado,female vocalists,costello 500
1NO3BwFtJjhQIQkh	latin,classic rock
1NUjQqlkw8rUBLLI	soul,blues,the wire,soundtrackgdchill
1ODKAyZfoiA8c1Hj	indie pop,alternative rock,indie rock
1OVpEErH60sofbKM	rock,i totally think this song is about me,italian,singer-songwriter,female vocalists,90s
1PbkQt0nm4wlaQB9	metalcore,melodic metalcore,hardcore,metal,metalcore,melodic hardcore,hardcore
1QrsMIpx3nbyX75S	uk garage,deep house,house
1QvrgUV3GN108S9s	nu jazz
1R5OUBY88yVKWKFU	rapcore,2017,rap,hardcore,rock,screamo
1Rn5G0gL1K0m4gFQ	mpb,latin,mpb,brazilian,brasil
1Rt6nEc20mcLigSf	jazz,acoustic,country,norah jones
1SLIcf3T7zK09Tv8	musical,broadway,rent,rock,musical,rent
1SM7ZyVo3MsNBAeS	french,pop,female vocalists,french pop
1SWs1ngkM7XXhWfL	post-punk,new wave,2016,indie,russian,post punk
1SbLlmun3Ybu6WDI	singer-songwriter,uruguay,cantautor,latin,spanish
1Sk8XOujVHQxrDSN	synthwave,electronic,darkwave,french touch
1TOx5IDc83JfKJMY	gothic metal,doom metal,90s,metal
1TajXcJq5yg9hgid	folk,female vocalists,singer-songwriter,laura marling
1UY3Xhpe9woT376Q	house,dance,electronic,club
1VvHG6uaWyLTZZaR	blues,chicago blues,electric blues,guitar
1WJFOzUTGPCTohZA	electronic,breakbeat,industrial,dance,electro
1WQkoAHloStdthMw	soundtrack,instrumental
1WlRq8rW40gTSwKO	rock,britpop,manic street preachers-2007-send away the tigers,alternative,alternative rock
1XYxr3gPDLh1OfLG	power metal,melodic metal,sonata arctica,metal,power metal,melodic metal,symphonic metal
1XksK0edltBBIgAR	alternative rock,alternative,female vocalists,brazilian rock
1XrZWrECeBx9rqwK	melodic death metal,power metal
1YJWDNKhtS9WKB8a	blues,chicago blues,classic blues,guitar
1YOagKsFqTS8BDK2	pop,swedish,zara larsson,dance,rainha do pop,pop,swedish,female vocalists
1Yfyk8H2Qu4Cf3Ex	pop,rnb,2014,female vocalists,dance,girl groups
1Z17lY5HmJ4MqbvS	hip-hop,rap,female rap,2017 single
1Z7Pb158yANCZ7zN	jazz,female vocalists,vocal jazz,blues
1ZDeLHmbKM5AZCQR	soul,british,4 stars,2010s,2016,i love this song more than my own life
1aOy9pzOsJ8AjKAb	pop,spanish
1aVjukDrKZfuozsS	gothic metal,symphonic metal,female fronted metal
1ajbRfMC8Z16Td2W	lo-fi,indie rock,end credits,somewhere out there,summer in la
1b7L5n3xhCn2bLWX	fave,experimental,electronic,indie
1b8sA4iir0gn8d2g	rock,classic rock,70s,queen,glam rock,hard rock
1bAK1RMIbpo3BhrK	gothic metal,industrial metal
1brDIUXXgVDlvv0v	rock,alternative,britpop,alternative rock,indie,british
1cUUnlwxUH9rXdBd	hardcore,emo,experimental,emocore,post-hardcore,screamo
1desuKPRoCCWc5xZ	funk,psychedelic
1eApBsTMCYUAWWKW	pop,love,female vocalists,selena gomez
1f1RCJoqJZKJQyEC	japanese,80s,j-pop,pop,electronic,techno
1f42FxRyQ5L2N9Ic	ambient,post-rock,the oc,indie
1fCrL9VWob31hlOf	indie,female vocalists,tegan and sara,indie pop
1gCejbMa6vBbzeIY	2015,indie pop,australian,indie,indie rock
1gVhiGnE05wha7iE	alternative metal,rock
1gbSfe8iEpBhNuJL	soundtrack,french,chanson
1h0uWdoZOy1i75ho	dubstep,electronic,house,progressive house
1h5xetjDsOju4lmp	mpb,2017,singer-songwriter,psychedelic,male vocalists,tropicalism
1hFwLdmoO4fC46hu	singer-songwriter,alternative,90s
1iK5Jw9Hf8vBdMdH	punk rock,punk,rock
1iXpa8TkY14CtUCp	mathcore,progressive metal,experimental,metalcore
1ingfo3XFafO5Pto	alternative,emo,rock,indie,one tree hill
1ipQbTWIdgp6fhIR	garage rock,love at first listen,real soul music,one song on repeat,dear song: i will stop sleeping for you,songs to get drunk to
1j8YxO3cGIbhNj34	pop,rnb,jojo
1jkzzxdtdUcstunm	spanish,romantica,crsitian castro,latin,mexico,cristian castro
1jmYi2f4Zx45iUm9	pop,80s,dance,1986
1kJRurE3EzLYOzkQ	rock,alternative rock,alternative,indie rock,indie,garage rock
1kckAOAQl4AZpnY3	country,2010s,2018
1ktzw8MBVxykwaRf	beyonce,rnb,female vocalists,pop,sean paul,dance
1lSVa35bKakCPNcT	afrobeat,funk,fip,indie
1lhDOBoSftrYQJ1Y	pop punk,2019
1lpFiMZP7EMqX5r0	oldies,pop
1m6NizcHQfOVzx9v	thrash metal,heavy metal,metal
1mxfEuKfXxeG4WAf	dance,soundtrack,world,hindi,indian,bollywood
1n3apSaoCwmQ5aEt	gospel,fip,soul,oldies
1nN1JLKuoWHOXAWm	pop punk,rock,alternative,female vocalists,pop rock,rock,pop punk,alternative
1nUgqM8kKO1fqqc3	industrial,industrial rock,electronic,alternative
1o8cAudoKRQstyHN	folk,acoustic,alt-country
1oO29RDo0cdUTIdu	pop,britpop,british,male vocalists,90s,pop,britpop,british
1oOfcGLQhe1n5pFb	pagode,pixote
1pg8GUj51tDQRlgw	soul,pop,female vocalists,love songs,motown,duets
1q4aW350Z3iqaaFy	pop,britney spears,dance,bloodshy and avant
1qFZ0HF62jrYNkRZ	post-hardcore,love at first listen,post-hardcore,screamo,emocore
1qIrffQFy4Rq0Fsr	folk metal,liv kristine
1qLNOH6PFcqhthLj	jazz,robertitus coleccion,smooth,pop
1qQibTZPMcIwThYi	pop,90s,rb,dance,mariah carey,rnb
1qbBE2tq5EfH2fnm	post-rock,instrumental,australian,morning music,bad seeds,sometimes i feel so happy
1rpgPh4SXOonbuWV	dubstep,chillstep
1rtul4j3ViHhsqLM	trip hop,art pop,modern classical
1snG075AE1jVzzwq	indie,britpop,rock,british
1tKEbqmPOJgTaMH6	electronic,synthpop,post-punk,indie,experimental
1tho4AsSUx5CUbvp	indie,canadian,indie rock,alternative,handclaps
1toZXou7rNITaMLS	punk rock,punk,alternative,emo,pop punk,punk rock,punk,alternative
1tx1pK4HWjonqxzB	dark ambient,glitch
1udTmLMZxFbDGzkf	pop,rnb,male vocalists,r&amp;b
1up9277uzf0f7Frk	classic rock,progressive rock,hard rock,70s,rock
1uq7hlqorbXklPpq	new wave,80s,1981,classic rock
1v0dXYmxG4SJGMUw	brazilian,rock,indie,indie rock,psychedelic rock
1v3FdjGxhYmKkiKM	post-punk,noise rock,canadian,art rock
1vSKLNlBC7jtFkd6	pop
1vXhxyR5IlXSdVM1	hardstyle,dutch,techno,hardbass
1vmSnTZR6E3XWGbZ	death metal,brutal death metal
1wHqJo47ilRkEgQZ	chillout,funky,funk,glitch,french house,sample
1wLyyu97sE2qxHdr	rock,indie rock,alternative rock,10s,indie rock,indie,rock
1wnp9dUFAxeg6u8b	2014,deep,electronic,10s
1wxIq8WMM9EBAuz7	pop,electropop,2018,bitpop,british,twee pop
1zfl5LM074y6tL2p	indie,electronic,australian,alternative
1zhQnmapnOYooiqK	ambient,electronic,instrumental,shoegaze
1zlCj1t0jIudSPvV	pop,female vocalists,80s,love songs,gloria estefan
1zoEwsASM4ETpeel	alternative rock,rock,norwegian,melancholy
22Zz29oDtQzkfmPr	alternative rock,rock,metal
22ueZuGJzNcqpXW7	indie,garage rock,alternative,indie rock
234sc1UPIAam4gNe	post-punk,black metal,shoegaze
23MjwaVkpokLjFIU	pop,dance,electronic,christina aguilera,bionic,female vocalists
23NOs1w2qaSzSLE4	progressive metal,atmospheric
23z7bAcQF1DACqpE	portuguese,rock,funk,alternative
24BUshcEmtzJ1xDI	ms,ukulele,nah,save
24Ft3WS9YTwCJdy1	k-pop,korean,kpop,pop,girl group
24iJtlgE7EhmIBDv	folk,singer-songwriter,2019,indie,alternative
24nlgl4Li25Oozfz	jazz,john coltrane,jazz,free jazz,saxophone
25CXGpwL9tzbw8pR	80s,pop,british
25D1h68mMNdSRFQJ	2017,female vocalists,experimental,electronic,piano,german
25EtnoL9Tzv6eZIB	mellow,piano,alternative,alternative rock,australian,folk rock
25p7eYt8IGcNvRYQ	thrash metal,crossover
25tftkfnWAd88uVv	noise rock,punk rock,2013,post-punk
262sBFgWVZcuKaB5	folk,cover songs,listen ccpl
26lDsWTP7PJYrNiT	folk,england,hairy chest
270Kv5VeaZu4PRof	indie,alternative,rock,alternative rock,british
27GiJsXCHkUISKiM	metal,industrial metal,industrial,rock,hard rock
27IJTxPO1SXXXu14	progressive rock,hard rock,rock,80s,progressive rock,classic rock,hard rock
29BfQrbglHW023p3	pop,80s
29Fl15gJt6a2tLUd	rock en espanol,90s,soundtrack of my life
29IkvAUrLTAanLvt	pop,ballad,2014,australian
29piBkMOqAZVL5bp	idm,electronic,drum n bass
2B9IozRcQLjfTUTu	doom metal,progressive metal,melancholic,depressive,atmospheric,progressive rock
2BgIVvMvNIV6MXSX	metalcore,instrumental,christian metalcore
2BjR4DCmAasATw2w	latin,70s,samba,brasil,samba rock,jorge ben
2CItxqKbfNCVXjMb	alternative rock,alternative metal,awesome,sad
2CRVi4QcbgnryXAr	shoegaze
2CY7AzZfbJ8CJney	post-punk,experimental,instrumental,alternative
2CkImSeKolHKPpPE	spiritual,somafm,sonicuniverse,jazz,harp,yoga
2Crpq1lNUxXXzCfA	indie,emo
2DN8Q7MnhBMq1XrL	rnb,soul,romantic,rhythm and blues,rnb,hip-hop,soul
2ETjCaVtTN9K30FU	classic rock,chuckchuckchuck
2EsLO0i2o18zx0ge	power metal,melodic metal,symphonic metal
2FIxCcpy5DptZGhZ	electronic,pop,synthpop,british
2FLDjfHZrUMJDpup	ska,brazilian,alternative,rock,brazilian,ska,alternative
2G1QsfIabbLrPV3p	folk,acoustic,all,indonesia
2HEDUMxUacma646T	nu metal,metal,hard rock,rock,drowning pool,alternative metal
2HFpbmmMD2wTUE18	hard rock,alternative metal,metal,nu metal,rock
2HZyJYCRlcGDX3aL	jazz,saxophone
2He51rvwe19Ies8H	rock,classic rock,queen,glam rock,gospel
2Hg2uAW57l5GJOKF	60s,rock,folk,names
2Hm3MU7OHsBzDKTS	emo,alternative
2KM7Y5cp7co9pDMT	pop,synthpop,new wave,80s,electronic
2KjrfARNuA9LZL5J	dub,chillout,downtempo,lounge
2KoTzrP2cU9dF35p	industrial metal,industrial,gothic metal
2L1vfwlVWd0jYXRb	alternative rock
2MkTJ9OFc0cwfhmg	post-rock,shoegaze,post-punk,french,trip-hop,dream pop
2NvDBQlve8KQ6aqS	mpb,samba,2016,mpb,soul,tropicalia revival
2OWW9O6eEwQn0xpO	post-powerviolence,hardcore,west coast
2OhFd1zj3IqWAXrq	heavy metal,power metal
2Oqv1dT8RbVDy2Fo	alternative,electronic,hip-hop,gorillaz,trip-hop
2OxTpAcoZZjr43Qu	acoustic,dream pop,female vocalists,folktronica,gilbert
2Q8zmpogg1fEUVgr	jazz,mellow,beautiful,peaceful,10s,tears
