0Ms5TgXO81hi7Jzd	rock,indie rock,indie pop,noise pop
0MsogDqbmJNTohet	punk,rock
0NYOybOH3K7w2I38	alternative rock,rock,punk,rock,alternative rock,hard rock
0P7FMi0IH8YC29jA	electronic,electronic,synthpop
0QFRc22ra1SdrQsy	dark ambient,drone
0QSuci5nyuRojGbo	black metal,raw black metal
0Qeai2jYu5cjc3vE	pop
0SeDKeYWE9enzz8Q	pop,hip hop,pop
0TZKbee0wUzeBhmP	rock
0UhNk0cWCHoH6xDw	ambient,electronic
0ViWaphaNb4lXxJL	jazz,nu jazz,acid jazz,downtempo
0WFZwWXu92pi1twc	electronic,experimental,ambient
0WOk5FhwZDiWMplz	rap
0We9TRA5zyjS7ush	rock,alternative rock
0WeIKLZh9Nzcd2Ew	chillwave,electronic,chillwave,electronic,lo-fi
0WgRx89fMmuDHuHS	pop
0Wtc7y7OYuJ3y9jO	axe,samba
0XEkr1yWNujXRI6W	rock
0XqU6v83ZMOeh4wc	k-pop,girl group
0Xqhhociv7ySUC27	pop,pop rock
0YG71J60HAJ5Glxd	hard rock,classic rock,rock
0YPssy4JykwvVcCR	singer-songwriter
0ZWpQKODgG3lj4h7	indie rock,spanish rock,pop rock
0ZeUa6hsJJrS2bI4	black metal,post-black metal,depressive black metal,shoegaze
0Zi1bAxCIYryXmG8	new wave,post-punk,electronic
0aFIFfBrPqFVAofA	indie rock,britpop
0aK8gzuVHgZDf7lR	pop
0acxku2l9vauMUwS	pop
0af8zLRGs4G32GCl	emo rap,hardcore hip hop
0b55VXwGLfCLa4aN	gospel
0bUiHslp8DhRf5rP	progressive metal,rock,gothic metal
0bdspL9LsnBaXFjS	soul,pop
0cGbpUlhorS5ZvL7	pop,singer-songwriter
0cWzZFhnGkmgefNn	psychedelic rock,garage rock
0cYTIIElIl2tFyoW	metal,metalcore,hard rock,rock,hardcore
0dU75Rzwm99uedjr	indie rock
0dXI6c6CorcfmgB2	thrash metal,speed metal
0dn6u1qHmbl3T2DB	jazz,bebop
0dvDjji9Y2ZDvsmU	pop punk,pop punk,rock
0eevOaGbxIFyawks	post-rock,experimental
0esYQXzcKfzGRHFQ	screamo,alternative rock,post-hardcore,melodic hardcore
0fceDYFPDO4huXRR	rock,classic rock,classic rock
0fsqAbzSxobL06Q9	post-punk,punk
0g473y5n6Abn9EKK	folk punk
0gLBuy5wKXD3WIF6	melodic hardcore,melodic hardcore,skate punk
0gUXBLKIvNFF46dT	electronic
0gs86tF7CLIV73wE	k-pop
0h2qKn4QYied7Wc6	chamber pop,singer-songwriter,folk
0h8G1bhVFVP6G9Km	electronic,new rave
0hEIp7b43rLAiZVR	country,singer-songwriter
0hcO6fu02UtR1iSd	melodic death metal,folk metal,metal
0hfTaonRSy4Ji6Fx	rock,indie rock,garage rock,rock,indie rock
0hi5FGoizAXxin1K	soul
0hp1VIc2JIzmdou4	shoegaze,post-rock
0j5i3WjphnPrK1sI	rock
0jGfv3KjonxRVg0Z	shoegaze,dream pop
0jywvXAj5ah8ffnh	pop,funk
0k7FuwOfSWu1FW0b	spanish pop
0kFhN9KUu2eVeiqw	post-hardcore,metalcore,metal,emo
0l74rMivq4JRIW5W	pop
0le9gmaGSt11gMzl	pop
0ltYJZpJLaxEdGd7	indie pop
0m5Q7XPXgBKh69Oo	k-pop,hip hop
0mpDFb1MSL6M6QDw	death metal,technical death metal,progressive metal,metal
0nWfiiw6TgdCNuYe	disco,pop
0nYiKD0xkvwn3Y2K	indie pop,pop
0nj7ecyJqaZsDW4D	soundtrack
0o5jvQWVuFrPhA4K	electronic
0oe2d23jio9Uyg49	pop,soul
0opwZtw5F24W5nGI	indie pop,art pop,indie pop
0pKdVXwboxWtasKV	pop,pop
0pn3KPrmlT65N0TZ	hard rock,rock,alternative rock,hard rock,rock
0qJbxD3hsFTAtT2H	country
0qJxPb3F5iBwemou	soundtrack,classical
0qgdmHEKVUOkICJq	neofolk,martial industrial
0qksG0v30j5B3d5m	soul,motown
0qqf89vequY2e2uT	dream pop,indie pop
0r15MBZkjvHovNPk	disco,pop
0r4GXVQMxdHlqWVw	neofolk
0r9CaVEt23gk1OLL	psychedelic rock,lo-fi
0rEoPxgyzHki2RWu	house,chicago house,acid house
0rjE4lunyG8Lrgjq	hardcore punk,punk
0slI8BiyGTfFWUGu	punjabi,punjabi
0szuK0G7dl2oeACy	rock,classic rock,funk,funk rock
0t6nCxnmb4fmDhnQ	electronic,shoegaze,dream pop
0tKSRIcj9gn6IJ5X	post-hardcore,rock,post-hardcore,electronic,metalcore
0thBNWXI4Gzb2ZLV	gothic metal,symphonic metal,metal
0tzYEg8KodbJHl8p	progressive rock,psychedelic rock,classic rock,rock
0u3Kcm8q8vnWPMHc	rock,garage rock,lo-fi
0uEtFSfUUzI9HMLn	funk,soundtrack
0uMHZRtfqLwZmzPv	grunge,rock,alternative rock
0uV7xclfhZI1ABpT	soft rock,easy listening
0uyVX6LPixsFh00P	rock,classic rock,hard rock
0vXeC5LIEh3rf9Mx	rap
0vd7SREH018NTDta	folk,singer-songwriter
0vrezKgvdaVdP55M	electronic
0w5hHsx3iy7K3Hvw	metalcore,rock,alternative metal
0w7vt6PTaKx8ogMT	bossa nova,jazz,mpb
0wuIKJAXhSBJ23h0	pop,k-pop
0wuaeUCdj0eoIpRH	new wave,electropop,electronic,indie rock
0xVqeng8rSk1vkzQ	folk
0xXiMHpY7KUmXlAv	pop
0yL5HM8MXEfkmgcE	rock,hardcore,post-hardcore,hard rock,hardcore,rock,hard rock
0ySwHBFBFjqs3ZwH	rock,brazilian rock,pop rock,alternative rock,rock,brazilian rock
0yT3jx96TnZ8ZMDj	folk,soul,k-pop,folk,k-pop
0ylNFDWBjq7HoaRR	jazz,cool jazz,vocal jazz
0yvedEdqrVJZJ8FB	stoner rock,alternative rock,rock
0z4MvkgcEZIuUhaC	jazz,bebop
0zHYWyUgwiCVEXty	rock,punk,emo,alternative rock
0zLKtENKWykjX3uw	ebm
109IXnS5xSfF7I3I	classic rock,rock
10w2wTXsYADqkdF1	post-punk,indie rock,punk,post-punk,hardcore punk
11AWkdsjnYloW9kn	alternative metal,gothic metal,metal
11SAgRx2QYFJEX8L	electronic,electronica
11TbQFLTZ0rWsuT5	pop,folk,indie pop
11vLXtujW5gKibl7	emo,emo rap,rap
122YR0dLpuw1XTjl	k-pop
12J0SifUY3ZcE7dL	blues,jazz,soul,blues,soul,jazz
12kWO3sheJ5BCttJ	disney,soundtrack
134RxLi6hDKFLixZ	pop,easy listening
13AYHy6cyhUIcPmC	soul
14sFTXZejVMAq33a	indie pop,downtempo
1537AQrURK0xyndn	dream pop,alternative rock
15tLvTjDxU197oBT	jazz,blues
166TJqR8YtaoibkS	soundtrack
16D82lKDn3niatEm	punk,melodic hardcore
16FgAwHUT9uktVqa	progressive rock,progressive metal
16Hz1Pdate9ZTzs6	pop,rock
16RZKo74hALxISBB	noise
16UnJPwsJaWza1Bt	britpop,alternative rock
16jrwJilnXunxqQi	indie rock
16pOUJTRbQFVz7pW	classic rock,rock,pop
16qLHNiUdmeJs9Qy	soundtrack
16vBZvYvZW9nceau	post-rock
17agWPqEyTQSui3I	pop,latin,latin pop,pop,latin
17z4NTAHHVech2oB	jazz,swing
18SiVZcLUJAJgviA	folk,rock,classic rock
18gL24KTRGwfRYE9	psychedelic rock,garage rock,rock
18vv9maSyDLb16H9	soul,soul
1921M8biipnVsHIM	country
1935k7mIkFNpUnxU	alternative rock,rock,hard rock
194kBdMfAYil6whx	pop
19AiX0Gb6VNKvjGU	classic rock,rock
19OiVL1Z3bWapeTg	soul
1AVBZ1QGoMgGtBZM	pop
1Ap2Ahuz2AS3D898	industrial metal
1ApbfAhXieJCmweB	blues,singer-songwriter,rock,blues,singer-songwriter,rock
1B8LAeUAPd3uLW0R	death metal
1B8re6qbgtUxjW8K	grunge,alternative rock,rock
1BAJNO4P19zJuRCZ	rock,alternative rock,grunge
1BSTJnqQWGkb0Miw	rap,rap
1BxOomemaljnipHN	rock,singer-songwriter
1DIRkXtyFT0RzMW4	indie rock,indie pop
1DfWWCw8vFSLPZoC	k-pop
1E0XOnSgrhT29oTj	technical death metal,death metal,technical death metal,death metal,brutal death metal
1Emt5bmCnIj3J3DN	folk,mpb
1FHsbrJnBPPP0g0k	electronic,hip hop
1GH1N58NWSZBHu0o	pop,pop,freestyle
1GSla2d1IZgYnLEY	christian rock,rock,alternative rock,christian rock,alternative rock,rock
1GgHBJlpBcyhExSA	spanish rock,spanish pop
1GgOhyP7jFJjmMxl	pop punk,rock,alternative rock
1H4rPODb44vLIJds	progressive metal,djent
1HoTAKe9slCtsTiu	k-indie,jazz
1Ix1W83L21wL90VM	metal,hard rock,metal,hard rock
1JDhrF80iTL8qZTw	pop,pop
1JJ4W4CJsmR02HTx	rock,alternative rock,grunge
1JUBq8gdBT7jepls	progressive metal
1Jp0SeFFOQ4i6y3R	soul
1K4uqBQSMn1LR5bV	pop punk,punk,rock,alternative rock
1KGKpWkeW70Knm0L	hip hop
1KNqgyqVTxDSFbJZ	folk,indie folk
1L5YgJUNjt0kE3rf	disco
1LMveeyguTX9Vrzz	gospel
1Mzdkzp94lWU1VP8	fado
1NO3BwFtJjhQIQkh	latin,classic rock
1NUjQqlkw8rUBLLI	soul,blues
1ODKAyZfoiA8c1Hj	indie pop,alternative rock,indie rock
1OVpEErH60sofbKM	rock,singer-songwriter
1PbkQt0nm4wlaQB9	metalcore,melodic metalcore,hardcore,metal,metalcore,melodic hardcore,hardcore
1QrsMIpx3nbyX75S	uk garage,deep house,house
1QvrgUV3GN108S9s	nu jazz
1R5OUBY88yVKWKFU	rap,hardcore,rock,screamo
1Rn5G0gL1K0m4gFQ	mpb,latin,mpb
1Rt6nEc20mcLigSf	jazz,country
1SLIcf3T7zK09Tv8	broadway,rock
1SM7ZyVo3MsNBAeS	pop,french pop
1SWs1ngkM7XXhWfL	post-punk,new wave
1SbLlmun3Ybu6WDI	singer-songwriter,cantautor,latin
1Sk8XOujVHQxrDSN	electronic
1TOx5IDc83JfKJMY	gothic metal,doom metal,metal
1TajXcJq5yg9hgid	folk,singer-songwriter
1UY3Xhpe9woT376Q	house,electronic
1VvHG6uaWyLTZZaR	blues,chicago blues,electric blues
1WJFOzUTGPCTohZA	electronic,breakbeat,industrial,electro
1WQkoAHloStdthMw	soundtrack
1WlRq8rW40gTSwKO	rock,britpop,alternative rock
1XYxr3gPDLh1OfLG	power metal,metal,power metal,symphonic metal
1XksK0edltBBIgAR	alternative rock,brazilian rock
1XrZWrECeBx9rqwK	melodic death metal,power metal
1YJWDNKhtS9WKB8a	blues,chicago blues
1YOagKsFqTS8BDK2	pop,pop
1Yfyk8H2Qu4Cf3Ex	pop
1Z17lY5HmJ4MqbvS	rap
1Z7Pb158yANCZ7zN	jazz,vocal jazz,blues
1ZDeLHmbKM5AZCQR	soul
1aOy9pzOsJ8AjKAb	pop
1aVjukDrKZfuozsS	gothic metal,symphonic metal
1ajbRfMC8Z16Td2W	lo-fi,indie rock
1b7L5n3xhCn2bLWX	experimental,electronic
1b8sA4iir0gn8d2g	rock,classic rock,glam rock,hard rock
1bAK1RMIbpo3BhrK	gothic metal,industrial metal
1brDIUXXgVDlvv0v	rock,britpop,alternative rock
1cUUnlwxUH9rXdBd	hardcore,emo,experimental,emocore,post-hardcore,screamo
1desuKPRoCCWc5xZ	funk
1eApBsTMCYUAWWKW	pop
1f1RCJoqJZKJQyEC	j-pop,pop,electronic,techno
1f42FxRyQ5L2N9Ic	ambient,post-rock
1fCrL9VWob31hlOf	indie pop
1gCejbMa6vBbzeIY	indie pop,indie rock
1gVhiGnE05wha7iE	alternative metal,rock
1gbSfe8iEpBhNuJL	soundtrack,chanson
1h0uWdoZOy1i75ho	dubstep,electronic,house,progressive house
1h5xetjDsOju4lmp	mpb,singer-songwriter
1hFwLdmoO4fC46hu	singer-songwriter
1iK5Jw9Hf8vBdMdH	punk,rock
1iXpa8TkY14CtUCp	mathcore,progressive metal,experimental,metalcore
1ingfo3XFafO5Pto	emo,rock
1ipQbTWIdgp6fhIR	garage rock
1j8YxO3cGIbhNj34	pop
1jkzzxdtdUcstunm	latin
1jmYi2f4Zx45iUm9	pop
1kJRurE3EzLYOzkQ	rock,alternative rock,indie rock,garage rock
1kckAOAQl4AZpnY3	country
1ktzw8MBVxykwaRf	pop
1lSVa35bKakCPNcT	afrobeat,funk
1lhDOBoSftrYQJ1Y	pop punk
1lpFiMZP7EMqX5r0	pop
1m6NizcHQfOVzx9v	thrash metal,metal
1mxfEuKfXxeG4WAf	soundtrack,world
1n3apSaoCwmQ5aEt	gospel,soul
1nN1JLKuoWHOXAWm	pop punk,rock,pop rock,rock,pop punk
1nUgqM8kKO1fqqc3	industrial,industrial rock,electronic
1o8cAudoKRQstyHN	folk
1oO29RDo0cdUTIdu	pop,britpop,pop,britpop
1oOfcGLQhe1n5pFb	pagode
1pg8GUj51tDQRlgw	soul,pop,motown
1q4aW350Z3iqaaFy	pop
1qFZ0HF62jrYNkRZ	post-hardcore,post-hardcore,screamo,emocore
1qIrffQFy4Rq0Fsr	folk metal
1qLNOH6PFcqhthLj	jazz,pop
1qQibTZPMcIwThYi	pop
1qbBE2tq5EfH2fnm	post-rock
1rpgPh4SXOonbuWV	dubstep,chillstep
1rtul4j3ViHhsqLM	trip hop,art pop
1snG075AE1jVzzwq	britpop,rock
1tKEbqmPOJgTaMH6	electronic,synthpop,post-punk,experimental
1tho4AsSUx5CUbvp	indie rock
1toZXou7rNITaMLS	punk,emo,pop punk,punk
1tx1pK4HWjonqxzB	dark ambient,glitch
1udTmLMZxFbDGzkf	pop
1up9277uzf0f7Frk	classic rock,progressive rock,hard rock,rock
1uq7hlqorbXklPpq	new wave,classic rock
1v0dXYmxG4SJGMUw	rock,indie rock,psychedelic rock
1v3FdjGxhYmKkiKM	post-punk,noise rock,art rock
1vSKLNlBC7jtFkd6	pop
1vXhxyR5IlXSdVM1	hardstyle,techno
1vmSnTZR6E3XWGbZ	death metal,brutal death metal
1wHqJo47ilRkEgQZ	funk,glitch
1wLyyu97sE2qxHdr	rock,indie rock,alternative rock,indie rock,rock
1wnp9dUFAxeg6u8b	electronic
1wxIq8WMM9EBAuz7	pop,electropop,twee pop
1zfl5LM074y6tL2p	electronic
1zhQnmapnOYooiqK	ambient,electronic,shoegaze
1zlCj1t0jIudSPvV	pop
1zoEwsASM4ETpeel	alternative rock,rock
22Zz29oDtQzkfmPr	alternative rock,rock,metal
22ueZuGJzNcqpXW7	garage rock,indie rock
234sc1UPIAam4gNe	post-punk,black metal,shoegaze
23MjwaVkpokLjFIU	pop,electronic
23NOs1w2qaSzSLE4	progressive metal
23z7bAcQF1DACqpE	rock,funk
24BUshcEmtzJ1xDI	ukulele
24Ft3WS9YTwCJdy1	k-pop,pop,girl group
24iJtlgE7EhmIBDv	folk,singer-songwriter
24nlgl4Li25Oozfz	jazz,jazz,free jazz
25CXGpwL9tzbw8pR	pop
25D1h68mMNdSRFQJ	experimental,electronic
25EtnoL9Tzv6eZIB	alternative rock,folk rock
25p7eYt8IGcNvRYQ	thrash metal
25tftkfnWAd88uVv	noise rock,post-punk
262sBFgWVZcuKaB5	folk
26lDsWTP7PJYrNiT	folk
270Kv5VeaZu4PRof	rock,alternative rock
27GiJsXCHkUISKiM	metal,industrial metal,industrial,rock,hard rock
27IJTxPO1SXXXu14	progressive rock,hard rock,rock,progressive rock,classic rock,hard rock
29BfQrbglHW023p3	pop
29Fl15gJt6a2tLUd	rock en espanol
29IkvAUrLTAanLvt	pop
29piBkMOqAZVL5bp	electronic
2B9IozRcQLjfTUTu	doom metal,progressive metal,progressive rock
2BgIVvMvNIV6MXSX	metalcore
2BjR4DCmAasATw2w	latin,samba
2CItxqKbfNCVXjMb	alternative rock,alternative metal
2CRVi4QcbgnryXAr	shoegaze
2CY7AzZfbJ8CJney	post-punk,experimental
2CkImSeKolHKPpPE	jazz,harp,yoga
2Crpq1lNUxXXzCfA	emo
2DN8Q7MnhBMq1XrL	soul,rhythm and blues,soul
2ETjCaVtTN9K30FU	classic rock
2EsLO0i2o18zx0ge	power metal,symphonic metal
2FIxCcpy5DptZGhZ	electronic,pop,synthpop
2FLDjfHZrUMJDpup	ska,rock,ska
2G1QsfIabbLrPV3p	folk
2HEDUMxUacma646T	nu metal,metal,hard rock,rock,alternative metal
2HFpbmmMD2wTUE18	hard rock,alternative metal,metal,nu metal,rock
2HZyJYCRlcGDX3aL	jazz
2He51rvwe19Ies8H	rock,classic rock,glam rock,gospel
2Hg2uAW57l5GJOKF	rock,folk
2Hm3MU7OHsBzDKTS	emo
2KM7Y5cp7co9pDMT	pop,synthpop,new wave,electronic
2KjrfARNuA9LZL5J	dub,downtempo,lounge
2KoTzrP2cU9dF35p	industrial metal,industrial,gothic metal
2L1vfwlVWd0jYXRb	alternative rock
2MkTJ9OFc0cwfhmg	post-rock,shoegaze,post-punk,dream pop
2NvDBQlve8KQ6aqS	mpb,samba,mpb,soul
2OWW9O6eEwQn0xpO	hardcore
2OhFd1zj3IqWAXrq	power metal
2Oqv1dT8RbVDy2Fo	electronic
2OxTpAcoZZjr43Qu	dream pop,folktronica
2Q8zmpogg1fEUVgr	jazz
2QYvwWjZoLSecjdF	rock,soundtrack
2R0e2QDRVUiUOJYm	indie rock,britpop
2S5j1hlh00w0URdC	pop,latin
2Sg3ptwe7ZvHsdvT	metalcore,metal,hard rock
2TAZAsRTomiImG8w	black metal,atmospheric black metal,doom metal,folk metal
2TD6tSmdzdwUORiH	ambient
2UD3xlgUwbbTpK9U	soul,pop
2UQcnK1ws7ZjmD1L	latin
2Uq7X419wfoxXytK	singer-songwriter,electronic
2Uy2gQDqnTzxyDzK	ska,ska,reggae
2VM6lSsdBrZVuLk7	experimental,electronic
2VMMReREqDvBxz17	folk,singer-songwriter
2VRvcjk2RcnCCTst	lo-fi,alternative rock
2WRdPOpokdV6lNra	progressive rock,progressive metal
2WUbcfexNIpDylIe	math rock,progressive rock,post-rock
2XQ1HQwq90PeNUzN	post-punk,indie rock,rock
2Y6VOZSzZss8nPOF	pop,singer-songwriter,pop,country
2YMhCsXXNlDpuuGU	alternative rock
2Yth1nYzRbDV8QEh	singer-songwriter,folk,singer-songwriter,folk
2Z7yBOTfjtvGwLJD	death metal,metal
2Z8xej6p395ks5kH	soundtrack,ambient,video game music
2ZCUDbGSBASlMBSE	rock,power pop,psychedelic rock
2ZL9CKS3yNUfTO8P	pop,singer-songwriter,pop rock
2ZMO1kjGFObo1gbq	rap,samba,mpb
2ZMoriwNhQDKr1fP	rock,classic rock
2ZaMOuFdsHGttfxQ	folk
2Zsmfr39dCABuJV4	mpb,forro
2aiKewjz7zVzeoLK	post-punk,minimal wave
2aj8WZ5AOTNMrv6I	grunge,rock,alternative rock
2ayKTCjtFL067qbr	garage rock
2bIsqk99mDsz4jVX	pop,pop
2bKnuDY6yVlPpZqY	electronic,minimal,deep house,house,experimental
2bmAUUBVmebA8dnQ	thrash metal,metal,speed metal
2cakaYqDKReBW2Fm	ambient,dark ambient,progressive rock,dark ambient
2ckGrlFZxgwLMlSN	experimental,experimental
2d7CcYxkPoVIRE83	soul,pop
2dTQ1i3UnFml5FZ4	samba,mpb
2ekVWpFnEgAWatng	power pop,indie rock,indie pop
2fHPxPOQ8S0wv0Fa	pop,rap
2hRRD9paDQfzNqRE	latin,cumbia,electronic,reggae
2ioBvpp1ihymLglY	folk
2jfZWc9gcwcDIpI9	pop
2kcO02S00F5JrM1N	hard rock
2kdf82NDfNcDJi73	folktronica
2llpRCbHTknLuyl5	house,tropical house
2mAp0X2gHi1AIpVY	industrial,experimental
2mMJV9wlPw7zJjLX	symphonic metal,gothic metal
2mXuTlLuoHG7Xgrt	pop,doo-wop
2mr2D2YlNzyTPwKC	thrash metal,speed metal,metal,thrash metal,metal
2mzlldXgCYcvYcg7	jazz,k-pop
2nPGFdINjiXPwh5V	rock,pop
2nPuDTLNBIa0LmNp	melodic death metal,metal,power metal,death metal
2ngM5mngYPecRVJR	groove metal,metal,metalcore,thrash metal
2pDRMBFgeqXNWBEj	classic rock,rock,soft rock
2rBzxeuCzQ7IBlRh	groove metal,thrash metal,metal
2rQUO4jU0myfggFP	punk,hardcore,punk,post-punk,hardcore punk
2sF9Hn5tma7n22Ut	indie rock
2sVmKXIvO8cARIF8	latin,pop
2sWGfN4rDYbP5DNR	singer-songwriter
2sfFZYdInzDiunzT	rock,alternative rock
2sk4CIdWNABMzNmU	nu metal,metal,alternative metal,hard rock
2tMoknK8uzkl4PGQ	rock,latin rock
2ttZq7Q29PSMra1r	post-metal,dark hardcore
2u4wTkhAmCT4sPXr	post-punk,new wave
2ua2QeZmz3kBTLdO	rap,experimental
2uaRixxZbSNdJ6L9	pop,electropop
2ufFgTBTYJF90BmI	industrial metal,industrial
2uoKQYOZa21Ll3Qc	funk,pop
2uqDTBk0zVAXddxk	grunge,alternative rock,grunge,alternative rock,rock
2uubq5eYjyU7fCMk	soul,pop
2v6cyBmLHol9eg95	pop
2v8KtCCDkJui2I2q	indie pop
2v9iHGrDVs1FNgGh	rap
2w0iy95g3YLGdYRF	garage rock,rock,punk
2w6nDWjxoC1sCSuC	metalcore,industrial metal,post-hardcore,industrial
2wZXfIxJQMVAchl7	pop,pop rock,rock
2wo10xcWI6DBbrjp	rock
2yS8OjfnzareM2il	synthpop,ambient,electronic,synthpop,electronic
2yTmONbhBi9yGfEY	smooth jazz
2yezn8DHcaF6JxSP	rock,blues,rhythm and blues,classic rock,rock
2ygjVPlU3cKp7nMG	hard rock,metal,nu metal,rock
2ypE2PjWKJLoyHsR	soul,hip hop,soul
2z4BnuIwyXTBbwAt	soul,pop
2zA9Yuz4zTJmYCOy	synthpop,electropop,pop
2zx75CNYSfjK9Kzq	grindcore,death metal
30FcvYVfGIUHyN6n	samba
30TX3xUfoExOgxHA	jazz,soul,pop
30hCe4DN8UZ86OZh	christian rock,rock
31NZ0ZTbQjpPIRyD	latin,pop,pop,latin,latin pop
31YIVZHQipXDAQRX	thrash metal
31YXnt6RbdqJqtmn	punk,melodic hardcore,hardcore,melodic hardcore,punk
32CqmThzZGVrYwwK	mpb,mpb
32J3xSss5YHCLY8l	black metal,swedish black metal
34LGXzU4AMNXJ5QT	electronic,electronica,electronic
34Mht3N1INAOCLgU	pop
350J7ZEpocP0UT6D	soul,rhythm and blues,soul,jazz
35iqaAumRwIyaFIv	forro
361QOxGc27oShviO	folk,indie folk
367Z7zhm2Vnrdatd	thrash metal,metal
36DCHgrXQKOV65xL	indie pop
36R5fITHaR23oOqF	indie rock,indie rock
36mogkQR5VcNWzZP	rap
373FTmXmB8JdNHwz	electropop
383oeXIzIxzDY7jC	rock,brazilian rock,pop rock
393YyCL4dOzjeDXO	jazz
39Bj9W5I8YKJ0lkX	folk,singer-songwriter
39L8oA3uDlnhV1Yc	rock,indie rock,shoegaze,indie rock
3AiwrUZ3x22JVluu	downtempo
3AnM1iGQCDI9Ceab	progressive rock,rock
3BxDIaNzK3knd5Jf	rock,brazilian rock,rock gaucho
3C5fKOvqw2pe6kLP	synthpop,experimental,noise
3CP0a854FeGN4eJV	rap
3Cmgta0LRzpvGdGU	rap
3CtzkqoWR1NJRdH0	country
3DLXPUltUaagok0k	mpb,pop
3DokXXWKhKVqgP8A	samba,samba
3E1s6pzcEC0D7k1l	electronic,electronica,electronic
3E6LE4q6HaJh7B3t	progressive rock,classic rock,psychedelic rock
3EfsW6jEhV0OvKIY	talent show
3FKCw0BfL1qGeDWg	noise,experimental,drone,ambient
3FThFRyM66r5J3Me	indie rock
3FsnGzrD9FvvUsxm	soul,soul,jazz
3FuKyTNdLJwWwIAU	synthpop,new wave
3FxEcHPDIKtaby3G	mpb,pop,singer-songwriter
3GBENfHz2WFiA9Ek	k-pop
3GGg4XLPiJgFZdEW	rap
3GHIXJgC7L7oNVGw	k-pop,dance pop
3GfWKyIRbkUbxnrU	folk metal,viking metal,metal,viking metal,folk metal
3Gi81iofhDsZRykw	rock
3Gv4CyGPvChHFF6l	indie pop,indie rock
3HgSt6BCbjGNRC4k	metalcore,hardcore,metal,screamo
3I3IEXhRkSokAauW	rock,alternative rock,funk
3ILnEnond0d83DzU	classic rock,rock,hard rock
3IsQCwU8FMDhfPED	alternative rock,rock,post-punk,lo-fi
3IyPVVwunPHbrQBk	symphonic metal,power metal
3JMM7GU7136u8s5g	thrash metal,metal,hard rock
3JMT9wwhiROQqvg6	symphonic metal,gothic metal
3JN6azAYHZDJ9IHg	rock,christian rock
